age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,Private,319768,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,France,>50K
60,Private,120067,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
43,Private,211517,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1669,45,United-States,<=50K
35,State-gov,210866,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,320811,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
55,Private,265579,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,2354,0,40,United-States,<=50K
38,Private,35890,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,204621,Assoc-acdm,12,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,182194,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,147519,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,80,United-States,<=50K
32,Private,171637,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,211208,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,>50K
23,Private,307149,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,25,United-States,<=50K
57,Private,74156,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
35,Self-emp-not-inc,228493,1st-4th,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,65,Mexico,<=50K
50,Self-emp-not-inc,334273,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,8,United-States,<=50K
48,Self-emp-inc,149218,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,>50K
61,Private,172037,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,200419,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
49,Private,123681,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,43,United-States,>50K
45,Private,161954,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany,<=50K
41,Federal-gov,160467,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,1506,0,40,United-States,<=50K
61,Private,260062,10th,6,Never-married,Other-service,Own-child,White,Female,4416,0,38,United-States,<=50K
42,Self-emp-not-inc,206066,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,45,United-States,<=50K
20,Private,386864,10th,6,Never-married,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K
28,Local-gov,210945,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,60,United-States,<=50K
40,Self-emp-inc,248476,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
46,Private,186539,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,48,United-States,>50K
50,Local-gov,163576,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
38,Self-emp-not-inc,230329,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K
50,Private,197189,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
19,Private,268392,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K
25,Private,253267,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,1902,36,United-States,>50K
49,Private,107373,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,>50K
42,Private,413297,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,222450,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
71,Private,29770,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,28,United-States,<=50K
56,Private,331569,HS-grad,9,Married-civ-spouse,Sales,Wife,Black,Female,0,0,36,United-States,<=50K
37,Self-emp-inc,51264,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
17,Private,342752,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
82,Self-emp-not-inc,181912,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,12,United-States,<=50K
45,Private,185385,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,103642,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,114580,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,70,United-States,<=50K
28,Private,216479,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Private,377757,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,<=50K
36,Private,191335,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K
31,Private,154227,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,>50K
19,Private,276937,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
42,Private,184682,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,0,0,30,United-States,<=50K
20,Private,221480,Some-college,10,Never-married,Tech-support,Unmarried,White,Female,0,0,8,United-States,<=50K
46,Private,35136,10th,6,Divorced,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,105010,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2051,20,United-States,<=50K
37,Private,230035,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,>50K
31,Private,176969,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,<=50K
